日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'688028,沃尔德,113.9,128.32,105.05,125.0,128.32,-14.42,-11.2375,45.1005,8186851,968717177.0,9112000000.0,2067567358.1
2019-08-22,'688028,沃尔德,128.32,143.48,128.32,141.8,142.3,-13.98,-9.8243,34.4836,6259622,853233988.0,10265600000.0,2329326105.28
2019-08-21,'688028,沃尔德,142.3,142.8,134.18,136.01,139.1,3.2,2.3005,37.8394,6868789,958479400.0,11384000000.0,2583097761.7
2019-08-20,'688028,沃尔德,139.1,142.56,132.68,135.77,134.83,4.27,3.167,33.5135,6083527,842643801.0,11128000000.0,2525009828.9
2019-08-19,'688028,沃尔德,134.83,144.99,134.21,143.0,146.48,-11.65,-7.9533,36.6507,6653019,918809256.0,10786400000.0,2447498743.57
2019-08-16,'688028,沃尔德,146.48,154.99,146.1,154.01,152.6,-6.12,-4.0105,34.4844,6259769,940508014.0,11718400000.0,2658975123.92
2019-08-15,'688028,沃尔德,152.6,159.88,150.1,152.0,157.63,-5.03,-3.191,34.2235,6212410,961307223.0,12208000000.0,2770068295.4
2019-08-14,'688028,沃尔德,157.63,162.08,151.3,159.9,156.0,1.63,1.0449,44.8164,8135290,1268486821.0,12610400000.0,2861375264.77
2019-08-13,'688028,沃尔德,156.0,158.88,142.63,143.88,142.7,13.3,9.3203,56.4949,10255231,1554023743.0,12480000000.0,2831786724.0
2019-08-12,'688028,沃尔德,142.7,142.7,128.02,135.5,135.0,7.7,5.7037,45.8013,8314074,1139751765.0,11416000000.0,2590358753.3
2019-08-09,'688028,沃尔德,135.0,148.8,126.08,130.03,130.99,4.01,3.0613,56.8928,10327446,1409368534.0,10800000000.0,2450584665.0
2019-08-08,'688028,沃尔德,130.99,132.93,118.77,123.0,129.26,1.73,1.3384,45.1698,8199445,1031407896.0,10479200000.0,2377793224.21
2019-08-07,'688028,沃尔德,129.26,137.0,124.5,128.0,122.83,6.43,5.2349,47.7526,8668279,1134464649.0,10340800000.0,2346389435.54
2019-08-06,'688028,沃尔德,122.83,148.53,114.0,136.0,142.4,-19.57,-13.743,57.5777,10451772,1425968257.0,9826400000.0,2229668995.57
2019-08-05,'688028,沃尔德,142.4,148.88,127.22,139.0,138.3,4.1,2.9646,52.8402,9591814,1329772183.0,11392000000.0,2584913009.6
2019-08-02,'688028,沃尔德,138.3,151.2,128.5,129.78,126.0,12.3,9.7619,61.4441,11153635,1563079688.0,11064000000.0,2510487845.7
2019-08-01,'688028,沃尔德,126.0,126.0,102.02,105.7,105.0,21.0,20.0,55.1901,10018377,1125411787.0,10080000000.0,2287212354.0
2019-07-31,'688028,沃尔德,105.0,105.18,88.94,90.0,91.72,13.28,14.4788,61.6493,11190869,1063720875.0,8400000000.0,1906010295.0
2019-07-30,'688028,沃尔德,91.72,105.9,85.26,95.0,88.68,3.04,3.4281,68.9803,12521632,1174289699.0,7337600000.0,1664945373.88
2019-07-29,'688028,沃尔德,88.68,88.68,76.5,79.5,73.9,14.78,20.0,30.2981,5499858,463342497.0,7094400000.0,1609761837.72
2019-07-26,'688028,沃尔德,73.9,79.5,68.24,70.12,73.93,-0.03,-0.0406,56.3774,10233901,761823308.0,5912000000.0,1341468198.1
2019-07-25,'688028,沃尔德,73.93,82.1,62.23,68.0,70.33,3.6,5.1187,70.3285,12766372,902575539.0,5914400000.0,1342012772.47
2019-07-24,'688028,沃尔德,70.33,70.33,53.1,53.59,52.19,18.14,34.7576,62.919,11421365,695057575.0,5626400000.0,1276663848.07
2019-07-23,'688028,沃尔德,52.19,55.58,44.8,45.11,56.0,-3.81,-6.8036,40.6545,7379802,377529457.0,4175200000.0,947377879.01
2019-07-22,'688028,N沃尔德,56.0,70.07,38.42,53.89,26.68,29.32,109.8951,75.4893,13703182,687737007.0,4480000000.0,1016538824.0
