日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'300674,宇信科技,31.0,33.9,30.76,33.14,31.82,-0.82,-2.577,27.3215,10931341,356487982.2,12400310000.0,1240310000.0
2019-08-22,'300674,宇信科技,31.82,31.99,31.11,31.4,31.57,0.25,0.7919,16.4769,6592391,208231451.05,12728318200.0,1273118200.0
2019-08-21,'300674,宇信科技,31.57,32.0,30.2,30.47,30.38,1.19,3.9171,26.0748,10432522,327201202.76,12628315700.0,1263115700.0
2019-08-20,'300674,宇信科技,30.38,31.17,30.37,30.99,30.65,-0.27,-0.8809,14.5233,5810784,178363166.91,12152303800.0,1215503800.0
2019-08-19,'300674,宇信科技,30.65,30.84,29.51,29.51,29.24,1.41,4.8222,15.4314,6174094,186864380.41,12260306500.0,1226306500.0
2019-08-16,'300674,宇信科技,29.24,30.28,29.22,29.78,29.76,-0.52,-1.7473,11.2774,4512101,134025997.61,11696292400.0,1169892400.0
2019-08-15,'300674,宇信科技,29.76,29.96,28.38,29.0,30.38,-0.62,-2.0408,12.4934,4998597,146882931.65,11904297600.0,1190697600.0
2019-08-14,'300674,宇信科技,30.38,31.16,30.18,30.73,30.18,0.2,0.6627,14.2133,5686725,174209314.05,12152303800.0,1215503800.0
2019-08-13,'300674,宇信科技,30.18,30.7,30.02,30.51,31.12,-0.94,-3.0206,11.4251,4571200,138612989.0,12072301800.0,1207501800.0
2019-08-12,'300674,宇信科技,31.12,31.17,29.09,29.73,30.0,1.12,3.7333,15.3877,6156633,186626594.82,12448311200.0,1245111200.0
2019-08-09,'300674,宇信科技,30.0,31.49,29.81,31.31,31.08,-1.08,-3.4749,14.5956,5839706,178462333.99,12000300000.0,1200300000.0
2019-08-08,'300674,宇信科技,31.08,31.57,30.16,31.32,30.85,0.23,0.7455,17.9376,7176849,221387522.65,12432310800.0,1243510800.0
2019-08-07,'300674,宇信科技,30.85,31.35,29.7,30.11,30.39,0.46,1.5137,23.5016,9403004,289110664.57,12340308500.0,1234308500.0
2019-08-06,'300674,宇信科技,30.39,30.5,27.62,29.13,30.16,0.23,0.7626,19.8234,7931350,230630215.42,12156303900.0,1215903900.0
2019-08-05,'300674,宇信科技,30.16,31.5,29.87,29.87,29.84,0.32,1.0724,16.2777,6512693,199258217.41,12064301600.0,1206701600.0
2019-08-02,'300674,宇信科技,29.84,30.09,29.26,29.45,30.78,-0.94,-3.0539,13.4597,5385236,159780726.56,11936298400.0,1193898400.0
2019-08-01,'300674,宇信科技,30.78,31.0,29.8,30.01,30.35,0.43,1.4168,16.4592,6585341,201057059.59,12312307800.0,1231507800.0
2019-07-31,'300674,宇信科技,30.35,30.36,29.61,30.17,30.71,-0.36,-1.1723,16.7418,6698411,201206237.32,12140303500.0,1214303500.0
2019-07-30,'300674,宇信科技,30.71,32.1,29.61,29.78,29.18,1.53,5.2433,30.281,12115436,376199964.52,12284307100.0,1228707100.0
2019-07-29,'300674,宇信科技,29.18,29.78,28.98,29.56,29.72,-0.54,-1.817,9.0712,3629396,106419264.04,11672291800.0,1167491800.0
2019-07-26,'300674,宇信科技,29.72,30.02,29.3,30.0,30.3,-0.58,-1.9142,11.3866,4555772,135151110.3,11888297200.0,1189097200.0
2019-07-25,'300674,宇信科技,30.3,30.48,29.5,29.97,30.05,0.25,0.8319,17.8216,7130415,213938428.55,12120303000.0,1212303000.0
2019-07-24,'300674,宇信科技,30.05,30.81,29.52,29.52,29.78,0.27,0.9066,23.8971,9561222,287762748.03,12020300500.0,1202300500.0
2019-07-23,'300674,宇信科技,29.78,30.87,28.2,28.2,28.33,1.45,5.1182,22.88,9154281,271301295.94,11912297800.0,1191497800.0
2019-07-22,'300674,宇信科技,28.33,29.23,27.11,28.97,29.54,-1.21,-4.0961,18.1735,7271229,204106557.0,11332283300.0,1133483300.0
2019-07-19,'300674,宇信科技,29.54,30.46,28.02,28.06,27.69,1.85,6.6811,26.7454,10700832,318730154.9,11816295400.0,1181895400.0
2019-07-18,'300674,宇信科技,27.69,28.8,27.66,28.8,29.12,-1.43,-4.9107,11.4564,4583698,128259766.48,11076276900.0,1107876900.0
2019-07-17,'300674,宇信科技,29.32,29.99,29.1,29.1,29.26,0.06,0.2051,15.5242,6211225,183658996.59,11728293200.0,1173093200.0
2019-07-16,'300674,宇信科技,29.26,31.0,29.1,30.99,29.17,0.09,0.3085,23.8146,9528230,285402666.31,11704292600.0,1170692600.0
2019-07-15,'300674,宇信科技,29.17,29.17,26.63,26.88,26.52,2.65,9.9925,10.9494,4380842,123859261.14,11668291700.0,1167091700.0
2019-07-12,'300674,宇信科技,26.52,26.71,25.9,26.26,26.3,0.22,0.8365,4.1857,1674708,44226838.44,10608265200.0,1061065200.0
2019-07-11,'300674,宇信科技,26.3,26.8,25.6,26.39,26.29,0.01,0.038,6.019,2408184,63255053.48,10520263000.0,1052263000.0
2019-07-10,'300674,宇信科技,26.29,27.16,26.1,26.99,27.02,-0.73,-2.7017,6.0397,2416500,64402307.0,10516262900.0,1051862900.0
2019-07-09,'300674,宇信科技,27.02,27.65,26.56,27.32,27.49,-0.47,-1.7097,6.0947,2438500,66121579.0,10808270200.0,1081070200.0
2019-07-08,'300674,宇信科技,27.49,28.43,27.3,28.0,28.45,-0.96,-3.3743,7.5009,3001100,83113280.0,10996274900.0,1099874900.0
2019-07-05,'300674,宇信科技,28.45,28.58,27.46,27.46,27.39,1.06,3.87,10.0046,4002826,112399984.86,11380284500.0,1138284500.0
2019-07-04,'300674,宇信科技,27.39,27.99,27.2,27.99,27.76,-0.37,-1.3329,6.2914,2517184,69252220.78,10956273900.0,1095873900.0
2019-07-03,'300674,宇信科技,27.76,28.68,27.51,28.68,28.67,-0.91,-3.174,9.2617,3705598,103068764.5,11104277600.0,1110677600.0
2019-07-02,'300674,宇信科技,28.67,29.32,28.4,29.0,28.92,-0.25,-0.8645,9.6855,3875177,111709660.07,11468286700.0,1147086700.0
2019-07-01,'300674,宇信科技,28.92,29.48,28.77,29.1,28.19,0.73,2.5896,11.4583,4584483,133142084.39,11568289200.0,1157089200.0
2019-06-28,'300674,宇信科技,28.19,29.85,28.11,29.85,29.92,-1.73,-5.7821,11.2782,4512418,129101855.47,11276281900.0,1127881900.0
