日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'300778,新城市,48.5,50.44,47.2,49.0,49.95,-1.45,-2.9029,26.9972,5399448,263730143.3,3880000000.0,970000000.0
2019-08-22,'300778,新城市,49.95,51.3,47.15,48.16,49.1,0.85,1.7312,36.6941,7338824,361368534.46,3996000000.0,999000000.0
2019-08-21,'300778,新城市,49.1,52.5,45.01,48.0,47.74,1.36,2.8488,49.3091,9861825,474770789.62,3928000000.0,982000000.0
2019-08-20,'300778,新城市,47.74,47.74,47.65,47.74,43.4,4.34,10.0,15.9972,3199441,152738427.7,3819200000.0,954800000.0
2019-08-19,'300778,新城市,43.4,43.4,43.4,43.4,39.45,3.95,10.0127,5.6727,1134547,49239339.8,3472000000.0,868000000.0
2019-08-16,'300778,新城市,39.45,39.95,39.41,39.47,39.46,-0.01,-0.0253,5.081,1016196,40296228.24,3156000000.0,789000000.0
2019-08-15,'300778,新城市,39.46,39.64,38.61,38.75,40.07,-0.61,-1.5223,5.46,1091996,42819352.5,3156800000.0,789200000.0
2019-08-14,'300778,新城市,40.07,40.67,40.07,40.6,40.06,0.01,0.025,5.532,1106400,44630014.36,3205600000.0,801400000.0
2019-08-13,'300778,新城市,40.06,40.76,39.78,40.76,41.25,-1.19,-2.8848,6.5127,1302536,52290288.56,3204800000.0,801200000.0
2019-08-12,'300778,新城市,41.25,41.97,39.63,41.63,41.54,-0.29,-0.6981,9.793,1958594,80004843.41,3300000000.0,825000000.0
2019-08-09,'300778,新城市,41.54,42.29,40.76,40.76,40.7,0.84,2.0639,12.4405,2488108,103201683.6,3323200000.0,830800000.0
2019-08-08,'300778,新城市,40.7,40.9,39.56,39.76,40.04,0.66,1.6484,6.9948,1398960,56240513.84,3256000000.0,814000000.0
2019-08-07,'300778,新城市,40.04,40.78,39.9,40.45,40.65,-0.61,-1.5006,7.1387,1427736,57622806.12,3203200000.0,800800000.0
2019-08-06,'300778,新城市,40.65,40.69,38.0,39.31,40.11,0.54,1.3463,11.3178,2263554,89215141.52,3252000000.0,813000000.0
2019-08-05,'300778,新城市,40.11,41.05,40.07,40.58,40.18,-0.07,-0.1742,5.8555,1171100,47410971.7,3208800000.0,802200000.0
2019-08-02,'300778,新城市,40.18,40.48,39.3,39.6,40.46,-0.28,-0.692,7.1403,1428050,57000106.96,3214400000.0,803600000.0
2019-08-01,'300778,新城市,40.46,40.62,39.65,40.19,41.18,-0.72,-1.7484,8.6579,1731576,69413409.68,3236800000.0,809200000.0
2019-07-31,'300778,新城市,41.18,42.68,41.12,41.96,40.78,0.4,0.9809,11.3535,2270699,95069937.8,3294400000.0,823600000.0
2019-07-30,'300778,新城市,40.78,41.1,40.3,40.63,40.63,0.15,0.3692,4.7959,959189,39076150.23,3262400000.0,815600000.0
2019-07-29,'300778,新城市,40.63,41.5,40.5,41.18,41.19,-0.56,-1.3596,4.763,952596,38967507.04,3250400000.0,812600000.0
2019-07-26,'300778,新城市,41.19,41.26,40.21,40.67,41.01,0.18,0.4389,5.7855,1157107,47395835.75,3295200000.0,823800000.0
2019-07-25,'300778,新城市,41.01,41.49,40.63,40.68,40.6,0.41,1.0099,6.3756,1275116,52473391.79,3280800000.0,820200000.0
2019-07-24,'300778,新城市,40.6,40.98,40.19,40.5,39.98,0.62,1.5508,5.7325,1146507,46593759.26,3248000000.0,812000000.0
2019-07-23,'300778,新城市,39.98,40.08,39.2,39.2,39.22,0.76,1.9378,4.7887,957733,38047918.38,3198400000.0,799600000.0
2019-07-22,'300778,新城市,39.22,41.47,39.1,41.03,41.13,-1.91,-4.6438,9.1372,1827435,72817604.3,3137600000.0,784400000.0
2019-07-19,'300778,新城市,41.13,41.63,41.03,41.1,40.95,0.18,0.4396,5.2235,1044701,43139784.23,3290400000.0,822600000.0
2019-07-18,'300778,新城市,40.95,42.28,40.83,42.01,42.48,-1.53,-3.6017,9.3281,1865610,77177571.1,3276000000.0,819000000.0
2019-07-17,'300778,新城市,42.48,43.8,42.31,43.42,43.74,-1.26,-2.8807,10.3462,2069248,88484346.08,3398400000.0,849600000.0
2019-07-16,'300778,新城市,43.74,44.13,43.41,43.56,43.89,-0.15,-0.3418,9.1143,1822869,79862041.87,3499200000.0,874800000.0
2019-07-15,'300778,新城市,43.89,43.89,42.0,42.69,42.92,0.97,2.26,10.7869,2157377,93136616.41,3511200000.0,877800000.0
2019-07-12,'300778,新城市,42.92,42.92,41.82,42.46,42.46,0.46,1.0834,7.0654,1413077,60139852.8,3433600000.0,858400000.0
2019-07-11,'300778,新城市,42.46,43.09,41.51,42.71,42.23,0.23,0.5446,10.3777,2075546,88097564.3,3396800000.0,849200000.0
2019-07-10,'300778,新城市,42.23,43.81,41.86,43.0,43.32,-1.09,-2.5162,11.5014,2300280,98555846.42,3378400000.0,844600000.0
