日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'300779,惠城环保,37.99,38.02,35.92,36.23,36.49,1.5,4.1107,27.4636,6865907,256094401.49,3799000000.0,949750000.0
2019-08-22,'300779,惠城环保,36.49,36.72,35.68,35.74,35.82,0.67,1.8705,14.9046,3726150,135189381.21,3649000000.0,912250000.0
2019-08-21,'300779,惠城环保,35.82,35.95,35.22,35.8,35.97,-0.15,-0.417,12.3389,3084714,109661334.94,3582000000.0,895500000.0
2019-08-20,'300779,惠城环保,35.97,36.41,35.16,35.16,35.62,0.35,0.9826,16.3899,4097477,146669051.24,3597000000.0,899250000.0
2019-08-19,'300779,惠城环保,35.62,35.69,34.35,34.59,34.95,0.67,1.917,15.1836,3795899,133377871.79,3562000000.0,890500000.0
2019-08-16,'300779,惠城环保,34.95,35.56,34.71,34.71,34.34,0.61,1.7764,14.7108,3677699,129454789.17,3495000000.0,873750000.0
2019-08-15,'300779,惠城环保,34.34,34.55,33.3,34.0,35.36,-1.02,-2.8846,16.2477,4061921,137933809.6,3434000000.0,858500000.0
2019-08-14,'300779,惠城环保,35.36,36.49,35.2,36.0,36.2,-0.84,-2.3204,18.7911,4697775,167751176.9,3536000000.0,884000000.0
2019-08-13,'300779,惠城环保,36.2,37.29,36.04,36.04,37.15,-0.95,-2.5572,13.6381,3409525,124357008.66,3620000000.0,905000000.0
2019-08-12,'300779,惠城环保,37.15,38.34,35.69,37.74,38.51,-1.36,-3.5316,22.8446,5711157,209437493.94,3715000000.0,928750000.0
2019-08-09,'300779,惠城环保,38.51,39.89,36.9,36.9,37.15,1.36,3.6608,29.3961,7349027,284168772.35,3851000000.0,962750000.0
2019-08-08,'300779,惠城环保,37.15,39.34,37.15,38.76,39.46,-2.31,-5.854,21.6067,5401672,205250469.15,3715000000.0,928750000.0
2019-08-07,'300779,惠城环保,39.46,40.63,37.89,39.3,40.05,-0.59,-1.4732,29.4309,7357713,288692365.58,3946000000.0,986500000.0
2019-08-06,'300779,惠城环保,40.05,41.16,36.22,36.7,37.66,2.39,6.3463,38.5329,9633218,377697546.43,4005000000.0,1001250000.0
2019-08-05,'300779,惠城环保,37.66,37.98,36.26,36.31,36.79,0.87,2.3648,28.3946,7098644,264641532.14,3766000000.0,941500000.0
2019-08-02,'300779,惠城环保,36.79,37.57,35.59,35.59,34.85,1.94,5.5667,30.0238,7505944,273680206.1,3679000000.0,919750000.0
2019-08-01,'300779,惠城环保,34.85,35.28,34.56,35.27,35.09,-0.24,-0.684,9.0931,2273278,79253155.42,3485000000.0,871250000.0
2019-07-31,'300779,惠城环保,35.09,35.88,34.85,35.05,35.53,-0.44,-1.2384,10.0796,2519901,88847499.82,3509000000.0,877250000.0
2019-07-30,'300779,惠城环保,35.53,35.9,34.85,34.94,34.96,0.57,1.6304,11.1956,2798908,99514400.11,3553000000.0,888250000.0
2019-07-29,'300779,惠城环保,34.96,35.95,34.61,35.7,35.66,-0.7,-1.963,10.4773,2619315,91842336.63,3496000000.0,874000000.0
2019-07-26,'300779,惠城环保,35.66,36.49,35.51,35.53,36.09,-0.43,-1.1915,10.9528,2738196,98270154.4,3566000000.0,891500000.0
2019-07-25,'300779,惠城环保,36.09,36.78,35.5,35.89,35.76,0.33,0.9228,14.8057,3701417,133864429.66,3609000000.0,902250000.0
2019-07-24,'300779,惠城环保,35.76,36.28,34.98,35.01,35.01,0.75,2.1422,14.758,3689509,132111050.43,3576000000.0,894000000.0
2019-07-23,'300779,惠城环保,35.01,35.24,34.23,34.84,34.97,0.04,0.1144,11.5304,2882609,100292025.27,3501000000.0,875250000.0
2019-07-22,'300779,惠城环保,34.97,39.1,34.97,38.91,38.86,-3.89,-10.0103,20.0183,5004571,179066619.96,3497000000.0,874250000.0
2019-07-19,'300779,惠城环保,38.86,40.6,38.8,39.02,39.88,-1.02,-2.5577,15.4528,3863212,152516237.39,3886000000.0,971500000.0
2019-07-18,'300779,惠城环保,39.88,41.05,38.8,39.11,39.89,-0.01,-0.0251,16.4432,4110797,165118184.26,3988000000.0,997000000.0
2019-07-17,'300779,惠城环保,39.89,41.88,39.89,41.81,41.69,-1.8,-4.3176,19.3519,4837966,195594064.41,3989000000.0,997250000.0
2019-07-16,'300779,惠城环保,41.69,42.0,39.68,40.0,40.31,1.38,3.4235,22.4327,5608170,231587027.17,4169000000.0,1042250000.0
2019-07-15,'300779,惠城环保,40.31,40.5,38.3,39.28,39.29,1.02,2.5961,17.8818,4470444,176725910.0,4031000000.0,1007750000.0
2019-07-12,'300779,惠城环保,39.29,40.9,38.8,40.5,40.51,-1.22,-3.0116,20.3812,5095304,201191052.88,3929000000.0,982250000.0
2019-07-11,'300779,惠城环保,40.51,43.34,39.7,43.33,43.0,-2.49,-5.7907,27.213,6803252,281330038.03,4051000000.0,1012750000.0
2019-07-10,'300779,惠城环保,43.0,43.57,41.88,41.98,42.62,0.38,0.8916,18.1747,4543685,193824110.55,4300000000.0,1075000000.0
2019-07-09,'300779,惠城环保,42.62,43.48,41.5,42.39,42.4,0.22,0.5189,20.549,5137238,218613899.07,4262000000.0,1065500000.0
2019-07-08,'300779,惠城环保,42.4,44.7,42.01,44.4,45.1,-2.7,-5.9867,25.8101,6452526,280318457.13,4240000000.0,1060000000.0
2019-07-05,'300779,惠城环保,45.1,47.47,44.81,47.44,47.48,-2.38,-5.0126,31.0973,7774316,357251259.19,4510000000.0,1127500000.0
2019-07-04,'300779,惠城环保,47.48,48.4,45.55,46.98,46.69,0.79,1.692,34.5155,8628885,407915392.16,4748000000.0,1187000000.0
2019-07-03,'300779,惠城环保,46.69,49.63,46.37,47.97,51.52,-4.83,-9.375,46.5585,11639633,553758615.51,4669000000.0,1167250000.0
2019-07-02,'300779,惠城环保,51.52,56.8,51.52,56.8,57.24,-5.72,-9.993,53.078,13269492,696319048.65,5152000000.0,1288000000.0
2019-07-01,'300779,惠城环保,57.24,57.24,52.04,53.02,52.04,5.2,9.9923,50.8749,12718737,709641042.53,5724000000.0,1431000000.0
2019-06-28,'300779,惠城环保,52.04,52.04,46.42,46.44,47.31,4.73,9.9979,66.7589,16689727,833712500.18,5204000000.0,1301000000.0
2019-06-27,'300779,惠城环保,47.31,47.6,44.58,45.14,44.95,2.36,5.2503,45.2509,11312736,521689482.17,4731000000.0,1182750000.0
2019-06-26,'300779,惠城环保,44.95,46.55,43.3,44.25,46.7,-1.75,-3.7473,41.9254,10481344,471517974.23,4495000000.0,1123750000.0
2019-06-25,'300779,惠城环保,46.7,50.88,43.55,45.09,48.39,-1.69,-3.4925,61.9143,15478571,715787390.0,4670000000.0,1167500000.0
2019-06-24,'300779,惠城环保,48.39,51.0,46.1,48.66,48.15,0.24,0.4984,54.8897,13722419,667075166.77,4839000000.0,1209750000.0
2019-06-21,'300779,惠城环保,48.15,51.8,45.02,46.0,47.14,1.01,2.1426,64.3185,16079621,799615327.8,4815000000.0,1203750000.0
2019-06-20,'300779,惠城环保,47.14,47.14,43.28,43.88,42.85,4.29,10.0117,67.4377,16859430,764182713.24,4714000000.0,1178500000.0
2019-06-19,'300779,惠城环保,42.85,42.85,39.07,39.6,38.95,3.9,10.0128,41.4824,10370590,422261077.91,4285000000.0,1071250000.0
