日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'300787,海能实业,69.73,69.73,69.73,69.73,63.39,6.34,10.0016,0.3081,65386,4559365.78,5918682400.0,1479670600.0
2019-08-22,'300787,海能实业,63.39,63.39,63.39,63.39,57.63,5.76,9.9948,0.3994,84746,5372048.94,5380543200.0,1345135800.0
2019-08-21,'300787,海能实业,57.63,57.63,57.63,57.63,52.39,5.24,10.0019,0.5389,114351,6590048.13,4891634400.0,1222908600.0
2019-08-20,'300787,海能实业,52.39,52.39,52.39,52.39,47.63,4.76,9.9937,0.3359,71271,3733887.69,4446863200.0,1111715800.0
2019-08-19,'300787,海能实业,47.63,47.63,47.63,47.63,43.3,4.33,10.0,0.0947,20100,957363.0,4042834400.0,1010708600.0
2019-08-16,'300787,海能实业,43.3,43.3,43.3,43.3,39.36,3.94,10.0102,0.0733,15556,673574.8,3675304000.0,918826000.0
2019-08-15,'300787,N海能,39.36,39.36,36.08,36.08,27.33,12.03,44.0176,0.182,38628,1518758.08,3340876800.0,835219200.0
