日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'603115,海星股份,25.69,27.63,25.67,27.24,27.0,-1.31,-4.8519,38.0645,19793524,521454946.0,5343520000.0,1335880000.0
2019-08-22,'603115,海星股份,27.0,27.98,26.25,26.41,26.67,0.33,1.2373,51.2445,26647148,725117743.0,5616000000.0,1404000000.0
2019-08-21,'603115,海星股份,26.67,27.09,25.2,25.45,26.5,0.17,0.6415,45.3176,23565147,619988319.0,5547360000.0,1386840000.0
2019-08-20,'603115,海星股份,26.5,28.57,26.38,28.57,25.97,0.53,2.0408,66.1581,34402194,934357650.0,5512000000.0,1378000000.0
2019-08-19,'603115,海星股份,25.97,25.97,25.97,25.97,23.61,2.36,9.9958,0.9695,504132,13092308.0,5401760000.0,1350440000.0
2019-08-16,'603115,海星股份,23.61,23.61,23.61,23.61,21.46,2.15,10.0186,0.8855,460470,10871697.0,4910880000.0,1227720000.0
2019-08-15,'603115,海星股份,21.46,21.46,21.46,21.46,19.51,1.95,9.9949,0.9256,481296,10328612.0,4463680000.0,1115920000.0
2019-08-14,'603115,海星股份,19.51,19.51,19.51,19.51,17.74,1.77,9.9775,0.1836,95490,1863010.0,4058080000.0,1014520000.0
2019-08-13,'603115,海星股份,17.74,17.74,17.74,17.74,16.13,1.61,9.9814,0.1097,57036,1011819.0,3689920000.0,922480000.0
2019-08-12,'603115,海星股份,16.13,16.13,16.13,16.13,14.66,1.47,10.0273,0.0777,40423,652023.0,3355040000.0,838760000.0
2019-08-09,'603115,N海星,14.66,14.66,14.66,14.66,10.18,4.48,44.0079,0.1336,69465,1018357.0,3049280000.0,762320000.0
