日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'603687,大胜达,18.55,19.41,18.47,19.1,19.2,-0.65,-3.3854,26.6749,13337446,252045395.0,7620910078.6,927500000.0
2019-08-22,'603687,大胜达,19.2,20.49,19.15,20.01,20.66,-1.46,-7.0668,40.5066,20253296,397504453.0,7887950054.4,960000000.0
2019-08-21,'603687,大胜达,20.66,22.46,20.62,22.22,22.9,-2.24,-9.7817,49.8405,24920239,542115844.0,8487762923.12,1033000000.0
2019-08-20,'603687,大胜达,22.9,22.9,20.81,21.61,21.52,1.38,6.4126,55.9937,27996868,613561788.0,9408023762.8,1145000000.0
2019-08-19,'603687,大胜达,21.52,21.9,20.7,21.41,21.47,0.05,0.2329,36.7035,18351754,392021017.0,8841077352.64,1076000000.0
2019-08-16,'603687,大胜达,21.47,22.48,21.09,21.42,21.9,-0.43,-1.9635,41.8969,20948428,454736179.0,8820535816.04,1073500000.0
2019-08-15,'603687,大胜达,21.9,22.2,20.08,20.56,21.51,0.39,1.8131,41.361,20680512,432933492.0,8997193030.8,1095000000.0
2019-08-14,'603687,大胜达,21.51,22.7,21.17,22.7,22.15,-0.64,-2.8894,42.3121,21156057,463724853.0,8836969045.32,1075500000.0
2019-08-13,'603687,大胜达,22.15,23.16,21.8,23.06,23.35,-1.2,-5.1392,45.1504,22575195,507776229.0,9099900713.8,1107500000.0
2019-08-12,'603687,大胜达,23.35,23.6,21.52,22.88,23.05,0.3,1.3015,51.6633,25831638,587001891.0,9592897592.2,1167500000.0
2019-08-09,'603687,大胜达,23.05,24.7,22.02,23.05,22.89,0.16,0.699,65.9596,32979792,764311535.0,9469648372.6,1152500000.0
2019-08-08,'603687,大胜达,22.89,24.94,20.4,22.0,22.67,0.22,0.9704,76.5923,38296130,848939707.0,9403915455.48,1144500000.0
2019-08-07,'603687,大胜达,22.67,22.67,21.89,22.2,20.61,2.06,9.9951,49.4992,24749612,555931060.0,9313532694.44,1133500000.0
2019-08-06,'603687,大胜达,20.61,20.61,20.61,20.61,18.74,1.87,9.9787,17.3826,8691299,179127672.0,8467221386.52,1030500000.0
2019-08-05,'603687,大胜达,18.74,18.74,18.74,18.74,17.04,1.7,9.9765,1.4841,742059,13906186.0,7698967917.68,937000000.0
2019-08-02,'603687,大胜达,17.04,17.04,17.04,17.04,15.49,1.55,10.0065,1.3133,656670,11189657.0,7000555673.28,852000000.0
2019-08-01,'603687,大胜达,15.49,15.49,15.49,15.49,14.08,1.41,10.0142,0.5023,251160,3890468.0,6363768038.68,774500000.0
2019-07-31,'603687,大胜达,14.08,14.08,14.08,14.08,12.8,1.28,10.0,0.2333,116651,1642446.0,5784496706.56,704000000.0
2019-07-30,'603687,大胜达,12.8,12.8,12.8,12.8,11.64,1.16,9.9656,0.0958,47900,613120.0,5258633369.6,640000000.0
2019-07-29,'603687,大胜达,11.64,11.64,11.64,11.64,10.58,1.06,10.0189,0.0783,39145,455648.0,4782069720.48,582000000.0
2019-07-26,'603687,N大胜达,10.58,10.58,8.82,8.82,7.35,3.23,43.9456,0.1727,86334,911478.0,4346589144.56,529000000.0
